manf_year,vehicle_name,selling_price,km_driven,fuel_type,seller_type,transmission,owner_type
2013,Renault Duster 85PS Diesel RxL,450000,1000,Diesel,Dealer,Manual,Second Owner
2018,Mercedes-Benz C-Class Progressive C 220d,3800000,10000,Diesel,Dealer,Automatic,First Owner
2013,Audi A4 3.0 TDI Quattro,1580000,86000,Diesel,Dealer,Automatic,First Owner
2019,BMW X5 xDrive 30d xLine,4950000,30000,Diesel,Dealer,Automatic,First Owner
2016,Hyundai Creta 1.6 CRDi SX,535000,52600,Diesel,Individual,Manual,First Owner
2017,Hyundai Grand i10 1.2 Kappa Magna AT,550000,19890,Petrol,Dealer,Automatic,First Owner
2017,Hyundai Grand i10 Magna AT,520000,10510,Petrol,Dealer,Automatic,First Owner
2016,Chevrolet Beat LT Option,239000,41000,Petrol,Dealer,Manual,First Owner
2017,Toyota Fortuner 4x2 AT,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner
2012,Hyundai i10 Magna,229999,49824,Petrol,Dealer,Manual,First Owner
2013,Audi A6 2.0 TDI Premium Plus,1300000,58500,Diesel,Dealer,Automatic,First Owner
2005,Hyundai Santro GS,80000,56580,Petrol,Dealer,Manual,First Owner
2012,Skoda Laura Ambiente 2.0 TDI CR MT,385000,52000,Diesel,Dealer,Manual,First Owner
2015,Hyundai Verna 1.6 VTVT SX,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner
2012,Volkswagen Jetta 2.0L TDI Highline AT,735000,55300,Diesel,Dealer,Automatic,First Owner
2012,Tata Indica Vista Quadrajet 90 VX,285000,74300,Diesel,Dealer,Manual,First Owner
2010,Honda City VX MT,350000,48781,Petrol,Dealer,Manual,First Owner
2010,Volkswagen Jetta 1.9 Highline TDI,290000,87620,Diesel,Dealer,Automatic,First Owner
2017,Volkswagen Vento 1.5 TDI Highline Plus AT,890000,40219,Diesel,Dealer,Automatic,First Owner
2011,Honda Jazz VX,385000,11473,Petrol,Dealer,Manual,First Owner
2017,Hyundai Grand i10 Asta,550000,9748,Petrol,Dealer,Manual,First Owner
2012,Volkswagen Polo 1.0 MPI Trendline,271000,49000,Petrol,Dealer,Manual,First Owner
2018,Hyundai Creta 1.6 CRDi SX Option,1490000,20694,Diesel,Dealer,Manual,First Owner
2015,Hyundai Grand i10 Asta Option,490000,31080,Petrol,Dealer,Manual,First Owner
2014,Hyundai EON Era Plus,260000,37605,Petrol,Dealer,Manual,First Owner
2014,Hyundai Xcent 1.1 CRDi SX Option,455000,55850,Diesel,Dealer,Manual,First Owner
2010,Tata Nano Lx BSIV,75000,58850,Petrol,Dealer,Manual,First Owner
2015,Toyota Etios Cross 1.2L G,421000,23839,Petrol,Dealer,Manual,First Owner
2013,Hyundai i10 Sportz 1.2 AT,330000,38000,Petrol,Dealer,Automatic,First Owner
2012,Volkswagen Vento 1.5 TDI Comfortline,390000,45454,Diesel,Dealer,Manual,First Owner
2015,Skoda Rapid 1.5 TDI AT Ambition,599000,46957,Diesel,Dealer,Automatic,First Owner
2007,Hyundai Getz GLE,110000,60000,Petrol,Individual,Manual,Fourth & Above Owner
2016,Renault KWID RXT Optional,250000,25000,Petrol,Individual,Manual,First Owner
2012,Mahindra Scorpio M2DI,600000,110000,Diesel,Individual,Manual,Fourth & Above Owner
2008,Ford Endeavour XLT TDCi 4X2,280000,190000,Diesel,Individual,Manual,Second Owner
2018,Audi Q3 35 TDI Quattro Technology,2700000,25000,Diesel,Individual,Automatic,First Owner
2008,Mahindra Renault Logan 1.4 GLX Petrol,80000,90000,Petrol,Individual,Manual,First Owner
2020,Audi A5 Sportback,4700000,1500,Diesel,Individual,Automatic,First Owner
2014,Chevrolet Sail Hatchback 1.3 TCDi LT ABS,250000,120000,Diesel,Individual,Manual,First Owner
2005,Hyundai Accent CRDi,100000,120000,Diesel,Individual,Manual,Second Owner
2014,BMW 7 Series Signature 730Ld,4000000,47000,Diesel,Individual,Automatic,First Owner
2017,Toyota Camry 2.5 Hybrid,1900000,20000,Petrol,Individual,Automatic,First Owner
2005,Hyundai Santro Xing XG,95000,120000,Petrol,Individual,Manual,Second Owner
2015,Hyundai Grand i10 CRDi Sportz,409999,58000,Diesel,Individual,Manual,First Owner
2018,Mahindra XUV500 W5 BSIV,1050000,35000,Diesel,Individual,Manual,First Owner
2019,Mahindra XUV300 W8 Option Diesel BSIV,1000000,10000,Diesel,Individual,Manual,First Owner
2017,Toyota Innova Crysta 2.4 VX MT BSIV,1770000,25000,Diesel,Individual,Manual,First Owner
2018,Mahindra Thar CRDe,950000,20000,Diesel,Individual,Manual,First Owner
2014,Hyundai EON Magna Plus,220000,42000,Petrol,Individual,Manual,First Owner
2017,Tata Hexa XM,1000000,50000,Diesel,Individual,Manual,First Owner
2017,Honda Mobilio E i DTEC,660000,116000,Diesel,Individual,Manual,First Owner
2010,Mahindra Scorpio LX,385000,110000,Diesel,Individual,Manual,Third Owner
2014,Fiat Grande Punto EVO 1.3 Dynamic,325000,70000,Diesel,Individual,Manual,First Owner
2015,Hyundai Creta 1.6 CRDi SX Option,950000,60000,Diesel,Individual,Manual,First Owner
2007,Ford Endeavour Hurricane Limited Edition,400000,110000,Diesel,Individual,Automatic,Fourth & Above Owner
2014,Tata Indica Vista TDI LS,250000,25000,Diesel,Individual,Manual,First Owner
2018,Land Rover Discovery S 2.0 SD4,4000000,68000,Petrol,Individual,Automatic,First Owner
2011,Hyundai i10 Era 1.1 iTech SE,147000,110000,Petrol,Individual,Manual,Second Owner
2012,Mahindra Scorpio SLE BSIV,550000,90000,Diesel,Individual,Manual,First Owner
2016,Hyundai i20 Sportz Option 1.2,475000,25000,Petrol,Individual,Manual,First Owner
2014,Hyundai Santro Xing GLS,250000,50000,Petrol,Individual,Manual,Second Owner
2006,Tata Indica LSI,70000,60000,Petrol,Individual,Manual,Second Owner
2012,Hyundai EON Era Plus,160000,70000,Petrol,Individual,Manual,Third Owner
2011,Ford Endeavour 3.0L 4X4 AT,1000000,90000,Diesel,Individual,Automatic,Second Owner
2001,Hyundai Santro LE zipPlus,68000,70000,Petrol,Individual,Manual,First Owner
2017,Hyundai Grand i10 1.2 Kappa Asta,500000,26500,Petrol,Individual,Manual,First Owner
2013,Tata Indigo CR4,170000,60000,Diesel,Individual,Manual,First Owner
2018,Mahindra Scorpio S11 BSIV,1300000,35000,Diesel,Individual,Manual,First Owner
2020,Hyundai Creta 1.4 EX Diesel,1050000,10000,Diesel,Individual,Manual,First Owner
2016,Hyundai i20 Magna 1.2,600000,25000,Petrol,Individual,Manual,First Owner
2017,Hyundai Verna CRDi 1.6 SX,900000,50000,Diesel,Individual,Manual,First Owner
2019,Hyundai Grand i10 1.2 Kappa Sportz BSIV,550000,25000,Petrol,Individual,Manual,First Owner
2017,Honda Brio 1.2 S MT,400000,15000,Petrol,Individual,Manual,First Owner
2011,Tata Nano Lx,120000,20000,Petrol,Individual,Manual,First Owner
2013,Hyundai i20 Asta 1.4 CRDi,300000,90000,Diesel,Individual,Manual,First Owner
2011,Tata Indigo LX,140000,60000,Diesel,Individual,Manual,Second Owner
2015,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,640000,23000,Petrol,Individual,Manual,First Owner
2011,Tata Nano Lx,120000,20000,Petrol,Individual,Manual,First Owner
2018,Ford Figo Aspire 1.2 Ti-VCT Trend,550000,35000,Petrol,Individual,Manual,First Owner
2012,Mahindra XUV500 W8 4WD,650000,71042,Diesel,Dealer,Manual,First Owner
2012,Mitsubishi Pajero Sport 4X4,1025000,167870,Diesel,Dealer,Manual,Second Owner
2011,Ford Fiesta 1.5 TDCi Titanium,195000,133564,Diesel,Dealer,Manual,First Owner
2018,Mercedes-Benz C-Class Progressive C 220d,3800000,10000,Diesel,Dealer,Automatic,First Owner
2013,BMW 3 Series 320d Sport,1490000,40000,Diesel,Dealer,Automatic,First Owner
2019,BMW X5 xDrive 30d xLine,4950000,30000,Diesel,Dealer,Automatic,First Owner
2018,Honda City i-VTEC CVT ZX,1140000,23038,Petrol,Trustmark Dealer,Automatic,First Owner
2011,Chevrolet Beat Diesel LS,95000,70000,Diesel,Individual,Manual,First Owner
2017,BMW 3 Series GT Luxury Line,3050000,30000,Diesel,Individual,Automatic,First Owner
2017,Hyundai Grand i10 1.2 Kappa Magna AT,550000,19890,Petrol,Dealer,Automatic,First Owner
2017,Hyundai Grand i10 Magna AT,520000,10510,Petrol,Dealer,Automatic,First Owner
2016,Chevrolet Beat LT Option,239000,41000,Petrol,Dealer,Manual,First Owner
2017,Toyota Fortuner 4x2 AT,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner
2012,Hyundai i10 Magna,229999,49824,Petrol,Dealer,Manual,First Owner
2013,Audi A6 2.0 TDI Premium Plus,1300000,58500,Diesel,Dealer,Automatic,First Owner
2013,Hyundai i20 1.4 Magna Executive,280000,52000,Diesel,Dealer,Manual,First Owner
2015,Mahindra Verito 1.5 D4 BSIV,300000,90000,Diesel,Individual,Manual,First Owner
2015,Hyundai Xcent 1.2 Kappa S,375000,70000,Petrol,Individual,Manual,First Owner
2003,Honda City VTEC,310000,90000,Petrol,Individual,Manual,Fourth & Above Owner
2016,Ford Endeavour 3.2 Titanium AT 4X4,1950000,106000,Diesel,Individual,Automatic,First Owner
2012,Tata Xenon XT EX 4X2,400000,80000,Diesel,Individual,Manual,Second Owner
2014,Nissan Terrano XL Plus 85 PS,550000,80000,Diesel,Individual,Manual,Second Owner
2013,Ford Ecosport 1.5 DV5 MT Ambiente,500000,60000,Diesel,Individual,Manual,Second Owner
2010,Skoda Laura Elegance 1.9 TDI  AT,400000,130000,Diesel,Individual,Automatic,Second Owner
2017,Hyundai EON 1.0 Era Plus,280000,28838,Petrol,Individual,Manual,First Owner
2008,Tata Indica GLS BS IV,80000,200000,Petrol,Individual,Manual,First Owner
2006,Tata Indica DLS,55000,100000,Diesel,Individual,Manual,First Owner
2010,Mahindra Bolero SLX 2WD,250000,190000,Diesel,Individual,Manual,Fourth & Above Owner
2007,Mahindra Jeep MM 540,95000,100000,Diesel,Individual,Manual,Second Owner
2014,Mahindra Scorpio 1.99 S10,725000,135000,Diesel,Individual,Manual,Second Owner
2015,Mahindra Bolero Power Plus Plus AC BSIV PS,320000,50000,Diesel,Individual,Manual,Third Owner
2014,Skoda Octavia Elegance 2.0 TDI AT,1200000,135000,Diesel,Individual,Automatic,Third Owner
2012,Chevrolet Beat Diesel LS,160000,50000,Diesel,Individual,Manual,First Owner
2018,Honda Jazz 1.5 VX i DTEC,790000,19571,Diesel,Dealer,Manual,First Owner
2018,Honda City i-VTEC ZX,1200000,29600,Petrol,Dealer,Manual,First Owner
2017,Renault Captur 1.5 Diesel RXT,825000,13500,Diesel,Individual,Manual,First Owner
2018,Audi A4 30 TFSI Technology,3100000,22000,Petrol,Individual,Automatic,First Owner
2018,Honda Amaze VX Diesel BSIV,780000,25000,Diesel,Dealer,Manual,First Owner
2010,Toyota Corolla Altis 1.8 VL AT,350000,80000,Petrol,Individual,Automatic,Third Owner
2018,Honda Amaze VX Petrol BSIV,690000,39000,Petrol,Dealer,Manual,First Owner
2018,Honda Amaze VX Diesel BSIV,790000,49000,Diesel,Dealer,Manual,First Owner
2018,Honda Amaze VX i-VTEC,680000,48600,Petrol,Dealer,Manual,First Owner
2017,Hyundai Grand i10 Asta Option,540000,20000,Petrol,Individual,Manual,Second Owner
2016,Mahindra KUV 100 mFALCON G80 K2,425000,25000,Petrol,Individual,Manual,First Owner
2015,Renault Lodgy 85PS RxL,715000,35000,Diesel,Individual,Manual,First Owner
2013,Audi A4 3.0 TDI Quattro,1580000,86000,Diesel,Dealer,Automatic,First Owner
2015,Audi Q3 2.0 TDI Quattro Premium Plus,1750000,127643,Diesel,Dealer,Automatic,First Owner
2018,Tata Zest Revotron 1.2T XMS,400000,54000,Petrol,Dealer,Manual,Second Owner
2014,Audi A6 2.0 TDI  Design Edition,1750000,102354,Diesel,Dealer,Automatic,First Owner
2014,Audi Q5 2.0 TFSI Quattro Premium Plus,1850000,62237,Petrol,Dealer,Automatic,First Owner
2005,Hyundai Santro Xing XL eRLX Euro III,114999,90000,Petrol,Dealer,Manual,Second Owner
2018,Ford EcoSport 1.5 TDCi Titanium BSIV,950000,21394,Diesel,Dealer,Manual,First Owner
2015,Datsun GO T Petrol,310000,32686,Petrol,Dealer,Manual,First Owner
2006,Mahindra Jeep CJ 500 DI,575000,1001,Diesel,Dealer,Manual,First Owner
2017,Renault Pulse RxZ,490000,22000,Diesel,Dealer,Manual,First Owner
2017,Hyundai Grand i10 Magna,480000,53261,Petrol,Dealer,Manual,First Owner
2016,Land Rover Discovery Sport SD4 HSE Luxury,3500000,53000,Diesel,Dealer,Automatic,First Owner
2018,Renault KWID 1.0 RXT Optional,370000,10000,Petrol,Dealer,Manual,First Owner
2017,Volkswagen Polo 2015-2019 1.2 MPI Highline,650000,44000,Petrol,Dealer,Manual,First Owner
2014,Toyota Etios VD,670000,39895,Diesel,Dealer,Manual,First Owner
2017,Chevrolet Cruze LTZ AT,950000,73000,Diesel,Dealer,Automatic,First Owner
2014,Honda City i-VTEC SV,690000,17000,Petrol,Dealer,Manual,First Owner
2017,Volkswagen Polo 2015-2019 1.2 MPI Highline,670000,18591,Petrol,Dealer,Manual,First Owner
2017,Tata Nexon 1.5 Revotorq XZ,925000,26766,Diesel,Dealer,Manual,First Owner
2015,Hyundai EON Magna Plus,250000,30000,Petrol,Individual,Manual,First Owner
2016,Tata Sumo Gold EX,509999,42000,Diesel,Individual,Manual,First Owner
2014,Honda City i DTEC VX,520000,110000,Diesel,Individual,Manual,First Owner
2005,Tata Indica DLE,100000,100000,Diesel,Individual,Manual,First Owner
2006,Tata Indica DLS,85000,300000,Diesel,Individual,Manual,Second Owner
2009,Tata Indigo LX,130000,110000,Diesel,Individual,Manual,Third Owner
2018,Ford EcoSport 1.5 TDCi Titanium BSIV,950000,27620,Diesel,Dealer,Manual,First Owner
2015,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,450000,70000,Petrol,Individual,Manual,First Owner
2012,Honda City S,320000,50000,Petrol,Individual,Manual,Second Owner
2014,Mercedes-Benz New C-Class C 220 CDI Grand Edition,2490000,46000,Diesel,Individual,Automatic,First Owner
2012,Toyota Innova 2.5 VX 8 STR,790000,82000,Diesel,Individual,Manual,First Owner
2010,Tata Indica GLS BS IV,99000,70000,Petrol,Individual,Manual,First Owner
2013,Mahindra Xylo D4 BSIV,250000,200000,Diesel,Individual,Manual,Second Owner
2011,Toyota Innova Crysta 2.5 VX BS IV,520000,120000,Diesel,Individual,Manual,First Owner
2018,Hyundai Verna CRDi 1.6 AT SX Option,1100000,30000,Diesel,Individual,Automatic,First Owner
2005,Toyota Innova 2.5 V Diesel 7-seater,200000,223000,Diesel,Individual,Manual,First Owner
2016,Hyundai i20 Asta 1.2,500000,40000,Petrol,Individual,Manual,First Owner
2016,Mahindra Scorpio S2 7 Seater,675000,161327,Diesel,Individual,Manual,First Owner
2009,Hyundai i10 Magna 1.2 iTech SE,150000,60000,Petrol,Individual,Manual,Third Owner
2007,Mahindra Bolero DI,250000,50000,Diesel,Individual,Manual,First Owner
2018,Hyundai Grand i10 1.2 Kappa Sportz BSIV,450000,6000,Petrol,Individual,Manual,First Owner
2009,Hyundai Santro Xing XS,150000,68000,Petrol,Individual,Manual,Second Owner
2012,Chevrolet Beat Diesel LS,200000,85000,Diesel,Individual,Manual,First Owner
2011,Mahindra Scorpio VLS AT 2.2 mHAWK,525000,70000,Diesel,Individual,Automatic,First Owner
2015,Honda Amaze S i-Dtech,475000,110000,Diesel,Individual,Manual,First Owner
2010,Mahindra Scorpio VLS AT 2.2 mHAWK,380000,195000,Diesel,Individual,Automatic,Second Owner
2017,Datsun RediGO T Option,250000,46000,Petrol,Individual,Manual,First Owner
2015,Hyundai Grand i10 CRDi Sportz,400000,42000,Diesel,Individual,Manual,First Owner
2006,Hyundai Santro Xing XG AT,160000,90000,Petrol,Individual,Automatic,Second Owner
2012,Skoda Yeti Ambition 4X2,650000,85000,Diesel,Individual,Manual,Second Owner
2012,Hyundai Verna 1.6 SX,409999,120000,Diesel,Individual,Manual,Third Owner
2013,Ford Ecosport 1.5 DV5 MT Titanium,425000,72000,Diesel,Individual,Manual,First Owner
2010,Volkswagen Polo Diesel Trendline 1.2L,130000,144000,Diesel,Individual,Manual,Fourth & Above Owner
2007,Hyundai Verna SX,155000,65000,Petrol,Dealer,Manual,First Owner
2015,Honda Jazz 1.5 VX i DTEC,450000,38000,Diesel,Individual,Manual,First Owner
2018,Hyundai i20 Active S Diesel,650000,37000,Diesel,Dealer,Manual,First Owner
2018,Honda Amaze V CVT Petrol BSIV,725000,26000,Petrol,Dealer,Automatic,First Owner
2016,Hyundai i20 Active SX Petrol,550000,23000,Petrol,Dealer,Manual,First Owner
2012,Hyundai i10 Magna,240000,40000,Petrol,Dealer,Manual,First Owner
2014,Nissan Terrano XL 85 PS,600000,27000,Diesel,Dealer,Manual,First Owner
2012,Tata New Safari DICOR 2.2 EX 4x2,350000,65000,Diesel,Dealer,Manual,First Owner
2015,Hyundai EON Magna Plus,245000,32000,Petrol,Dealer,Manual,First Owner
2016,Mahindra Bolero B6,600000,56000,Diesel,Dealer,Manual,First Owner
2017,BMW X1 sDrive 20d xLine,2400000,30000,Diesel,Individual,Automatic,First Owner
2014,Mahindra Scorpio SLE BS IV,620000,80000,Diesel,Dealer,Manual,First Owner
2012,Chevrolet Tavera Neo 2 LT L 9 Str,400000,110000,Diesel,Individual,Manual,First Owner
2012,Tata Indica Vista Aura Plus 1.3 Quadrajet,200000,70000,Diesel,Individual,Manual,Second Owner
2013,Renault Duster 85PS Diesel RxL Plus,302000,60000,Diesel,Individual,Manual,Second Owner
2014,Toyota Innova 2.5 G (Diesel) 8 Seater,1000000,101000,Diesel,Individual,Manual,Second Owner
2018,Mahindra Bolero Power Plus SLX,550000,44000,Diesel,Individual,Manual,First Owner
2017,Mahindra Scorpio S2 7 Seater,750000,120000,Diesel,Individual,Manual,First Owner
2013,Hyundai EON D Lite Plus,229999,13500,Petrol,Individual,Manual,First Owner
2017,Renault KWID 1.0 RXT Optional,350000,10000,Petrol,Individual,Manual,First Owner
2015,Hyundai Grand i10 Magna,325000,25000,Petrol,Individual,Manual,Third Owner
2018,Tata Tigor 1.2 Revotron XT,450000,8500,Petrol,Individual,Manual,First Owner
2012,Volkswagen Polo Diesel Comfortline 1.2L,225000,120000,Diesel,Individual,Manual,First Owner
2017,Renault Duster 85PS Diesel RxL,610000,32000,Diesel,Individual,Manual,Second Owner
2013,Tata Manza Club Class Quadrajet90 VX,170000,60400,Diesel,Individual,Manual,First Owner
2008,Hyundai Verna CRDi,150000,70950,Diesel,Individual,Manual,Second Owner
2013,Hyundai i20 Asta 1.4 CRDi,300000,90000,Diesel,Individual,Manual,First Owner
2015,Hyundai Xcent 1.1 CRDi Base,375000,72000,Diesel,Individual,Manual,First Owner
2017,Hyundai i20 Active 1.2 S,600000,10000,Petrol,Individual,Manual,First Owner
2009,Hyundai Verna CRDi,270000,80000,Diesel,Individual,Manual,Second Owner
2017,Hyundai Grand i10 Sportz,375000,10000,Petrol,Individual,Manual,First Owner
2017,Hyundai i10 Sportz 1.1L,375000,10000,Petrol,Individual,Manual,First Owner
2014,Hyundai Grand i10 Asta,341000,31491,Petrol,Individual,Manual,First Owner
2012,Hyundai Santro Xing GL Plus,170000,50000,Petrol,Individual,Manual,Second Owner
2017,Toyota Innova Crysta 2.4 VX MT 8S BSIV,1900000,100000,Diesel,Individual,Manual,First Owner
2016,Mahindra Bolero Power Plus LX,500000,60000,Diesel,Individual,Manual,First Owner
2011,Hyundai i10 Magna 1.2 iTech SE,195000,80000,Petrol,Individual,Manual,Second Owner
2016,Mahindra KUV 100 mFALCON D75 K6,430000,20000,Diesel,Individual,Manual,First Owner
2012,Tata Nano Cx BSIV,75000,35000,Petrol,Individual,Manual,Second Owner
2017,Mahindra Xylo D4,750000,80000,Diesel,Individual,Manual,First Owner
2011,Tata Nano Lx,60000,40000,Petrol,Individual,Manual,First Owner
2015,Toyota Innova 2.5 VX (Diesel) 8 Seater,1500000,46412,Diesel,Individual,Manual,First Owner
2011,Mahindra Bolero SLX 2WD BSIII,390000,150000,Diesel,Individual,Manual,Fourth & Above Owner
2016,Mahindra TUV 300 T4,630000,50000,Diesel,Individual,Manual,First Owner
2018,Tata Safari Storme VX Varicor 400,1085000,15000,Diesel,Individual,Manual,First Owner
2012,Hyundai i10 Magna 1.2 iTech SE,190000,60000,Petrol,Individual,Manual,Second Owner
2011,Chevrolet Spark 1.0 LT,165000,60000,Petrol,Individual,Manual,First Owner
2013,Ford Figo Diesel Celebration Edition,260000,65000,Diesel,Individual,Manual,First Owner
2012,Tata Indica Vista Quadrajet LX,175000,80000,Diesel,Individual,Manual,Third Owner
2010,Tata Indica Vista TDI LS,170000,107500,Diesel,Dealer,Manual,First Owner
2013,Tata Indica Vista TDI LS,210000,135000,Diesel,Dealer,Manual,Second Owner
2016,Hyundai i20 Active S Petrol,535000,55838,Petrol,Dealer,Manual,First Owner
2011,Tata Indica Vista Terra Quadrajet 1.3L,140000,90000,Diesel,Individual,Manual,Third Owner
2012,Nissan Sunny XL,350000,40000,Petrol,Individual,Manual,First Owner
2013,Hyundai Verna 1.6 SX VTVT (O),425000,66000,Petrol,Individual,Manual,First Owner
2017,Renault KWID 1.0 RXT Optional,300000,30300,Petrol,Individual,Manual,First Owner
2013,Volkswagen Vento Diesel Style Limited Edition,340000,85000,Diesel,Individual,Manual,Second Owner
2008,Chevrolet Aveo 1.4 LS,170000,81324,Petrol,Dealer,Manual,First Owner
2013,Honda Amaze S i-Dtech,315000,127884,Diesel,Dealer,Manual,First Owner
2015,Chevrolet Beat PS,200000,50000,Petrol,Individual,Manual,First Owner
2016,Chevrolet Beat PS,300000,25000,Petrol,Individual,Manual,First Owner
2015,Honda Amaze S i-Dtech,300000,66755,Diesel,Dealer,Manual,First Owner
2013,Honda City E,380000,123084,Petrol,Dealer,Manual,First Owner
2013,Honda Amaze S i-Dtech,310000,95851,Diesel,Dealer,Manual,First Owner
2016,Mahindra Xylo H4 ABS,850000,40000,Diesel,Individual,Manual,First Owner
2017,Datsun GO Plus T Option BSIV,375000,20000,Petrol,Individual,Manual,Second Owner
2006,Hyundai Elantra CRDi (Leather Option),125000,120000,Diesel,Individual,Manual,Third Owner
2012,Chevrolet Beat Diesel LT,250000,110000,Diesel,Individual,Manual,First Owner
2014,Toyota Corolla Altis D-4D J,715000,234000,Diesel,Individual,Manual,First Owner
2011,Hyundai i20 1.4 CRDi Era,220000,70000,Diesel,Individual,Manual,First Owner
2010,Tata Indica Vista Aqua 1.3 Quadrajet,110000,110000,Diesel,Individual,Manual,Second Owner
2007,Hyundai Verna XXi (Petrol),150000,84000,Petrol,Individual,Manual,Second Owner
2012,Nissan Sunny Diesel XV,300000,170000,Diesel,Individual,Manual,First Owner
2017,Datsun RediGO T Option,220000,40000,Petrol,Individual,Manual,First Owner
2009,Tata Indigo LS,100000,20000,Diesel,Individual,Manual,First Owner
2016,Ford Figo Aspire 1.2 Ti-VCT Trend,380000,15000,Petrol,Individual,Manual,First Owner
2007,Hyundai Santro Xing XK (Non-AC),100000,50000,Petrol,Individual,Manual,First Owner
2010,Volkswagen Passat 1.8 TSI MT,480000,80000,Petrol,Individual,Manual,Second Owner
2012,Toyota Etios GD,300000,124000,Diesel,Individual,Manual,First Owner
2013,Chevrolet Beat Diesel LS,190000,70000,Diesel,Individual,Manual,First Owner
2012,Ford Figo Diesel LXI,190000,130000,Diesel,Individual,Manual,Second Owner
2017,Ford EcoSport 1.5 Ti VCT MT Trend BSIV,650000,19014,Petrol,Dealer,Manual,First Owner
2009,Toyota Corolla Executive (HE),300000,23262,Petrol,Dealer,Manual,First Owner
2016,Ford Freestyle Titanium Diesel BSIV,700000,29600,Diesel,Dealer,Manual,First Owner
2015,Hyundai i10 Sportz 1.1L,310000,35925,Petrol,Dealer,Manual,First Owner
2013,Toyota Etios V,415000,40771,Petrol,Dealer,Manual,First Owner
2014,Toyota Etios Liva 1.2 G,430000,42000,Petrol,Dealer,Manual,Second Owner
2007,Toyota Corolla H6,215000,55800,Petrol,Dealer,Manual,Second Owner
2014,Renault Duster RXL AWD,550000,66569,Diesel,Dealer,Manual,First Owner
2014,Volkswagen Polo 1.5 TDI Trendline,415000,81358,Diesel,Dealer,Manual,First Owner
2015,Volkswagen Polo 1.5 TDI Comfortline,450000,82695,Diesel,Dealer,Manual,First Owner
2014,Ford Figo Diesel EXI,285000,68293,Diesel,Dealer,Manual,Second Owner
2016,Honda Jazz VX CVT,580000,32000,Petrol,Dealer,Automatic,First Owner
2018,Hyundai Verna CRDi 1.6 SX Option,1200000,60000,Diesel,Individual,Manual,First Owner
2016,Tata Zest Quadrajet 1.3 75PS XE,400000,88470,Diesel,Individual,Manual,First Owner
2016,Hyundai Verna 1.6 CRDI SX Option,850000,75000,Diesel,Individual,Manual,First Owner
2013,Volkswagen Vento Diesel Highline,450000,120000,Diesel,Individual,Manual,Second Owner
2012,Mercedes-Benz E-Class E250 CDI Blue Efficiency,2500000,35000,Diesel,Individual,Automatic,First Owner
2017,Toyota Etios 1.4 VXD,780000,70000,Diesel,Individual,Manual,First Owner
2017,Toyota Fortuner 2.8 2WD AT BSIV,3200000,57000,Diesel,Individual,Automatic,First Owner
2013,Mahindra Quanto C6,285000,120000,Diesel,Individual,Manual,Second Owner
2015,Volkswagen Vento 1.5 TDI Highline,525000,98000,Diesel,Dealer,Manual,First Owner
2018,Volkswagen Ameo 1.5 TDI Comfortline,580000,70000,Diesel,Individual,Manual,First Owner
2013,Tata Nano CX SE,75000,25000,Petrol,Individual,Manual,Third Owner
2009,Tata Manza Aura Quadrajet,185000,60000,Diesel,Individual,Manual,Third Owner
2004,Honda City 1.5 EXI,180000,200000,Petrol,Individual,Manual,Second Owner
2010,Volkswagen Polo Diesel Comfortline 1.2L,350000,110000,Diesel,Individual,Manual,Second Owner
2005,Chevrolet Optra 1.6 LS,60000,126000,Petrol,Individual,Manual,Second Owner
2018,Mahindra TUV 300 T10,695000,70000,Diesel,Individual,Manual,First Owner
2019,Mahindra Alturas G4 4X2 AT BSIV,2700000,5000,Diesel,Individual,Automatic,First Owner
2015,Mahindra Bolero Power Plus Plus AC BSIV PS,640000,70000,Diesel,Individual,Manual,Second Owner
2004,Tata Indica LXI,80000,46000,Petrol,Individual,Manual,Second Owner
2013,Tata Sumo Gold EX,250000,90000,Diesel,Individual,Manual,Second Owner
2017,Toyota Innova Crysta 2.4 VX MT BSIV,1300000,70000,Diesel,Individual,Manual,First Owner
2014,Mahindra Quanto C6,250000,1,Diesel,Individual,Manual,Second Owner
2009,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,450000,192000,Diesel,Individual,Manual,First Owner
2007,Mahindra Bolero DI DX 7 Seater,225000,120000,Diesel,Individual,Manual,Second Owner
2012,Tata Sumo Victa CX 7/9 Str BSII,320000,120000,Diesel,Individual,Manual,Second Owner
2007,Tata Indica GLS BS IV,85000,50000,Petrol,Individual,Manual,Second Owner
2009,Tata Indica Vista Aqua TDI BSIII,90000,120000,Diesel,Individual,Manual,First Owner
2008,Mahindra Scorpio M2DI,350000,80000,Diesel,Individual,Manual,Second Owner
2009,Skoda Superb Elegance 2.0 TDI CR AT,355000,100000,Diesel,Individual,Automatic,Second Owner
2018,Jeep Compass 2.0 Longitude Option BSIV,1700000,50000,Diesel,Individual,Manual,First Owner
2006,Tata Indica DL,55000,100000,Diesel,Individual,Manual,Second Owner
2006,Ford Fiesta 1.6 ZXi Leather,95000,83411,Petrol,Individual,Manual,First Owner
2011,Volkswagen Vento Diesel Highline,300000,120000,Diesel,Individual,Manual,Second Owner
